26,0.0040569,0.0048605,0.0053171,0.0046551,0.0055017,0.015659,0.015763,0.016135,0.015799,0.015967
37,-0.002508,0.0016845,0.0026604,0.0024549,0.0008355,0.015577,0.015375,0.014532,0.015601,0.0075321
38,0.0034687,0.0022841,0.0036685,0.0035552,0.0035635,0.018281,0.016939,0.01737,0.016728,0.017883
43,-0.0031857,-0.0030918,-0.0029844,-0.0023749,-0.0034443,0.00024553,0.00020194,-0.00053073,-0.00034795,-0.013234
49,0.0067516,0.006986,-0.0026222,0.0061848,-0.004211,0.013758,0.019239,0.013466,0.013203,0.012433
50,0.0085201,0.00031148,-0.0029971,0.0083913,-0.00031324,-0.0028135,-0.0031027,-0.014067,-0.0030952,-0.014913
73,-0.0037819,-0.0033119,-0.0040873,-0.0038452,-0.0040332,-0.0043554,-0.0040741,-0.0035728,-0.0030294,-0.003013
74,0.0026274,0.0021627,0.0028397,0.0032322,0.0018951,0.015071,0.014151,0.014806,0.014878,0.014913
75,0.003392,0.0030076,0.0021627,0.0035527,-0.0089819,0.0038875,0.0032047,0.001181,0.00097642,-0.01076
77,-0.002852,-0.0031127,-0.002855,-0.0013577,-0.0022062,0.017124,0.016808,0.016481,0.01524,0.01549
79,0.002107,0.0014226,0.00088064,0.0017986,0.00044829,-0.0054092,-0.0062047,-0.0052542,-0.006386,-0.0058261
80,-9.6302e-06,-0.011029,0.0014536,-0.012577,-0.012428,-0.0059258,-0.0065678,0.0060925,-0.0040012,-0.0048532
81,-0.00022073,-0.00026284,-7.5034e-05,0.00042265,-0.0098022,0.011188,0.010016,0.0096601,0.010527,0.010944
82,0.0011736,0.00078227,0.0016462,0.0009946,0.0017673,0.010159,0.0092042,0.0088916,0.0098228,0.0097928
87,0.0022828,0.0025367,0.0021678,0.0023903,0.0031343,0.0077532,0.0098316,0.0084155,0.0074806,0.0075317
88,0.0024605,0.0020835,0.0021069,0.0024572,0.0024416,0.02071,0.019244,0.019385,0.020244,0.019541
89,0.00044904,0.00050536,0.00011328,0.0013136,0.00090221,0.0074671,0.0066557,0.0070258,0.0068847,0.0066696
90,-0.0030994,-0.012835,-0.0025286,-0.0024183,-0.013937,0.0010674,0.020025,-0.0081318,-0.00026673,-0.0011378
94,-0.0041186,-0.0040822,-0.0018365,-0.0030539,0.0066042,0.014986,0.015353,0.015007,0.014645,0.01459
96,0.011354,0.00074455,0.00082749,0.0043413,0.013461,0.03129,0.030285,0.02883,0.030103,0.029849
