Wavelength [nm],Background (Mel),Modulation (Mel),Background (LMS),Modulation (LMS)
380,8.619e-06,1.0979e-05,4.118e-06,2.0328e-05
382,9.741e-06,1.0202e-05,4.624e-06,2.0879e-05
384,8.122e-06,1.0228e-05,4.542e-06,1.8975e-05
386,7.897e-06,1.0496e-05,4.191e-06,1.827e-05
388,7.875e-06,1.14e-05,4.126e-06,1.8735e-05
390,7.781e-06,1.0878e-05,4.519e-06,1.6099e-05
392,5.147e-06,1.0549e-05,3.858e-06,1.7719e-05
394,5.717e-06,9.077e-06,3.709e-06,1.7613e-05
396,6.453e-06,1.0838e-05,4.012e-06,1.5487e-05
398,4.738e-06,9.453e-06,3.402e-06,1.6991e-05
400,6.371e-06,9.523e-06,3.837e-06,1.7677e-05
402,6.184e-06,8.214e-06,3.655e-06,1.5805e-05
404,6.421e-06,8.071e-06,3.489e-06,1.619e-05
406,5.476e-06,7.413e-06,3.644e-06,1.6243e-05
408,5.405e-06,8.888e-06,3.417e-06,1.5427e-05
410,6.46e-06,8.406e-06,3.545e-06,1.4692e-05
412,8.49e-06,8.611e-06,3.451e-06,1.5532e-05
414,1.0517e-05,8.663e-06,3.419e-06,2.0682e-05
416,2.354e-05,1.2489e-05,4.115e-06,3.673e-05
418,5.446e-05,2.058e-05,5.39e-06,7.835e-05
420,0.00010827,3.499e-05,7.853e-06,0.00015029
422,0.00017895,5.303e-05,1.1226e-05,0.0002537
424,0.0002513,7.161e-05,1.564e-05,0.0003853
426,0.0003181,9.002e-05,2.097e-05,0.0005593
428,0.0003779,0.00010517,2.763e-05,0.0007554
430,0.0004257,0.00011886,3.346e-05,0.0009337
432,0.0004502,0.00012671,3.864e-05,0.0010614
434,0.0004369,0.00012487,4.174e-05,0.0011154
436,0.0003715,0.00010931,4.225e-05,0.0010838
438,0.0002665,8.435e-05,4.087e-05,0.0009891
440,0.0001563,5.856e-05,3.9e-05,0.0008385
442,8.374e-05,4.273e-05,3.623e-05,0.0006382
444,5.982e-05,3.966e-05,3.423e-05,0.0004438
446,5.559e-05,4.035e-05,3.311e-05,0.0002732
448,5.79e-05,4.307e-05,3.398e-05,0.000165
450,6.192e-05,4.728e-05,3.69e-05,0.00012439
452,6.437e-05,4.915e-05,3.945e-05,0.00011397
454,6.41e-05,5.019e-05,4.076e-05,0.00011039
456,6.482e-05,5.094e-05,4.28e-05,0.0001089
458,6.675e-05,5.383e-05,4.561e-05,0.00011102
460,6.981e-05,5.662e-05,4.859e-05,0.00011294
462,7.292e-05,5.937e-05,5.19e-05,0.00011424
464,7.65e-05,6.257e-05,5.561e-05,0.00011676
466,8.153e-05,6.606e-05,6.024e-05,0.00012116
468,8.874e-05,7.119e-05,6.61e-05,0.00012909
470,8.908e-05,7.024e-05,6.799e-05,0.00012953
472,8.821e-05,6.894e-05,6.846e-05,0.00012564
474,8.761e-05,6.719e-05,6.856e-05,0.00012258
476,8.341e-05,6.264e-05,6.67e-05,0.00011681
478,8.217e-05,5.937e-05,6.658e-05,0.00011312
480,8.442e-05,6.111e-05,7.06e-05,0.00011429
482,8.977e-05,6.363e-05,7.628e-05,0.00011866
484,9.047e-05,6.656e-05,7.994e-05,0.00011829
486,8.94e-05,7.523e-05,8.383e-05,0.00011632
488,8.88e-05,0.00011463,0.00010022,0.00011865
490,9.368e-05,0.000256,0.00016399,0.00013176
492,0.00010101,0.0006101,0.000331,0.00016134
494,0.00010561,0.0012479,0.0006358,0.0002054
496,0.00011056,0.001937,0.0009481,0.0002474
498,0.00012336,0.002603,0.0011991,0.0002801
500,0.00014905,0.003218,0.001365,0.0003035
502,0.00018247,0.003743,0.0014603,0.0003162
504,0.0002098,0.004129,0.0015082,0.0003214
506,0.0002244,0.004288,0.0014975,0.0003183
508,0.0002292,0.004111,0.0013681,0.0002926
510,0.0002318,0.003602,0.0010887,0.000252
512,0.0002286,0.002883,0.0007196,0.0002087
514,0.0002139,0.002141,0.0004092,0.00018272
516,0.00018818,0.0014894,0.0002475,0.00017308
518,0.0001597,0.0009247,0.00019383,0.00016989
520,0.00014466,0.0005586,0.00018119,0.00016939
522,0.0001396,0.0003963,0.00017452,0.00016835
524,0.00013985,0.0003378,0.00016804,0.00016639
526,0.00014134,0.0003117,0.00016225,0.00016397
528,0.00014295,0.0002921,0.00015661,0.00015922
530,0.00014473,0.0002714,0.00015126,0.0001523
532,0.00014574,0.0002556,0.00014867,0.00014624
534,0.00014719,0.0002417,0.00014683,0.00014128
536,0.00014726,0.0002295,0.00014559,0.00013542
538,0.0001476,0.0002207,0.00014502,0.00013196
540,0.00014682,0.0002141,0.00014515,0.00013077
542,0.00014379,0.0002085,0.0001457,0.00013159
544,0.00014175,0.0002055,0.00014741,0.0001356
546,0.00013553,0.000203,0.00014824,0.00014149
548,0.0001288,0.0002011,0.00014928,0.00014925
550,0.00012129,0.00019945,0.00015015,0.00015909
552,0.00011474,0.00019843,0.00015085,0.00017715
554,0.00010916,0.00019738,0.00015158,0.0002359
556,0.00010617,0.00019717,0.00015181,0.0004048
558,0.00010603,0.00019758,0.0001522,0.000754
560,0.0001088,0.00019763,0.00015269,0.0012974
562,0.00011506,0.00019725,0.00015283,0.0020408
564,0.00013564,0.00019449,0.00015158,0.003117
566,0.0002114,0.00019181,0.00015051,0.004281
568,0.0004298,0.00018845,0.00014874,0.005464
570,0.0008568,0.00018348,0.00014645,0.006621
572,0.0014909,0.00017853,0.00014392,0.007694
574,0.002373,0.00017706,0.00014148,0.008649
576,0.003488,0.00018405,0.00014106,0.009441
578,0.004594,0.0002054,0.00014822,0.010002
580,0.005688,0.0002514,0.00016965,0.010391
582,0.006703,0.0003354,0.0002093,0.010608
584,0.007562,0.0004804,0.0002703,0.01067
586,0.008228,0.0007762,0.0003713,0.010575
588,0.008568,0.001156,0.000498,0.010443
590,0.008615,0.0015299,0.000654,0.01024
592,0.008245,0.0017834,0.0008393,0.009966
594,0.007403,0.0018783,0.0010514,0.009641
596,0.006061,0.0018529,0.0013009,0.009231
598,0.00473,0.0017639,0.0015353,0.008839
600,0.003536,0.0016709,0.0017683,0.008448
602,0.002535,0.0016583,0.0019934,0.008082
604,0.0017391,0.0018457,0.002208,0.007731
606,0.0010988,0.00236,0.002412,0.007321
608,0.0007469,0.00312,0.002543,0.006843
610,0.0006157,0.004008,0.002572,0.00623
612,0.0005761,0.004947,0.00249,0.005483
614,0.0005686,0.005871,0.002288,0.004668
616,0.0005745,0.006782,0.0019536,0.003773
618,0.0005879,0.007485,0.0015636,0.002924
620,0.0006095,0.007927,0.0011723,0.002162
622,0.0006488,0.008161,0.0008079,0.0014796
624,0.0007114,0.008209,0.0005643,0.0009927
626,0.0008079,0.008087,0.0005715,0.000864
628,0.0009286,0.007835,0.0008252,0.0010937
630,0.0010568,0.007515,0.0011735,0.0014613
632,0.0011877,0.007173,0.001549,0.0018656
634,0.0013224,0.006813,0.0019278,0.002279
636,0.0014668,0.006411,0.002336,0.002723
638,0.0015947,0.006064,0.002693,0.003114
640,0.0017168,0.005774,0.002999,0.003434
642,0.0018356,0.005519,0.003232,0.003635
644,0.0019544,0.005304,0.003385,0.003709
646,0.002092,0.005101,0.003464,0.003701
648,0.002208,0.004935,0.003486,0.003668
650,0.002297,0.004748,0.003464,0.003603
652,0.002348,0.004518,0.003371,0.003468
654,0.002382,0.004279,0.003196,0.003244
656,0.00241,0.004041,0.002875,0.002889
658,0.002444,0.003868,0.00251,0.002515
660,0.002475,0.003724,0.002119,0.00213
662,0.002495,0.003592,0.0017252,0.0017458
664,0.002475,0.00343,0.0013155,0.0013438
666,0.00236,0.003176,0.0009162,0.0009463
668,0.00216,0.002846,0.0005899,0.0006224
670,0.0018996,0.002465,0.0003511,0.0003877
672,0.0016109,0.002066,0.0002235,0.0002594
674,0.0012732,0.0016246,0.00017099,0.0002082
676,0.0009666,0.0012307,0.00015482,0.00018968
678,0.000682,0.000877,0.00014596,0.00018212
680,0.0004434,0.0005796,0.00014015,0.00017704
682,0.0002821,0.00038,0.00013641,0.00017596
684,0.0002085,0.0002834,0.00013404,0.00017518
686,0.00018465,0.0002496,0.00012813,0.00016741
688,0.0001708,0.0002279,0.00012258,0.00016325
690,0.00016155,0.0002116,0.00011596,0.00015812
692,0.00015528,0.00019417,0.0001078,0.00015067
694,0.00014277,0.00017735,9.998e-05,0.00014608
696,0.00013479,0.00016244,9.293e-05,0.00013806
698,0.00012807,0.00015142,8.615e-05,0.00013165
700,0.00012014,0.00013936,8.051e-05,0.00012643
702,0.00011187,0.00012976,7.55e-05,0.00012331
704,0.00010878,0.00012249,7.105e-05,0.00012142
706,0.00010623,0.00011696,6.786e-05,0.00011896
708,9.978e-05,0.00011258,6.478e-05,0.00011517
710,9.308e-05,0.00010902,6.307e-05,0.00011675
712,9.209e-05,0.00010628,6.134e-05,0.00011398
714,8.759e-05,0.00010464,5.977e-05,0.0001099
716,8.282e-05,0.00010106,5.648e-05,0.00010315
718,7.766e-05,9.547e-05,5.384e-05,9.862e-05
720,7.18e-05,9.08e-05,5.028e-05,9.621e-05
722,7e-05,8.498e-05,4.805e-05,9.072e-05
724,6.566e-05,8.306e-05,4.637e-05,8.588e-05
726,6.32e-05,8.162e-05,4.562e-05,8.725e-05
728,5.837e-05,8.148e-05,4.57e-05,8.475e-05
730,5.502e-05,8.393e-05,4.612e-05,8.047e-05
732,5.355e-05,7.937e-05,4.553e-05,7.964e-05
734,4.722e-05,7.573e-05,4.36e-05,7.806e-05
736,4.184e-05,7.292e-05,4e-05,7.294e-05
738,3.708e-05,6.703e-05,3.43e-05,6.167e-05
740,3.103e-05,6.2e-05,3.097e-05,5.285e-05
742,2.597e-05,5.605e-05,2.711e-05,4.519e-05
744,2.0347e-05,5.577e-05,2.161e-05,4.29e-05
746,2.1773e-05,5.158e-05,2.133e-05,3.957e-05
748,1.862e-05,5.007e-05,2.0517e-05,3.47e-05
750,1.4126e-05,4.841e-05,1.8959e-05,3.193e-05
752,2.186e-05,4.991e-05,2.0017e-05,3.024e-05
754,1.5844e-05,4.971e-05,1.8249e-05,3.122e-05
756,1.8318e-05,4.748e-05,1.7707e-05,3.065e-05
758,2.197e-05,4.753e-05,1.7099e-05,3.136e-05
760,2.448e-05,5.032e-05,1.8765e-05,3.506e-05
762,2.124e-05,4.925e-05,1.9188e-05,3.131e-05
764,2.25e-05,5.292e-05,1.8698e-05,4.237e-05
766,2.425e-05,5.191e-05,1.7687e-05,4.337e-05
768,2.956e-05,4.564e-05,1.8575e-05,3.766e-05
770,3.279e-05,4.766e-05,1.9321e-05,5.239e-05
772,3.143e-05,4.658e-05,1.9305e-05,5.11e-05
774,3.554e-05,4.674e-05,1.5625e-05,5.572e-05
776,4.2e-05,4.461e-05,1.6202e-05,5.761e-05
778,4.29e-05,4.831e-05,1.9746e-05,7.872e-05
780,4.778e-05,4.761e-05,1.8164e-05,8.492e-05
